Center,Area,Roundness,Ellipse Width,Ellipse Height,Angle
"(121, 348)",922.5,0.7002096152999882,22.79348373413086,53.10214614868164,171.87844848632812
"(721, 334)",1595.5,0.818946270849639,37.11311340332031,55.653114318847656,169.85275268554688
"(401, 333)",1151.0,0.7532790603260885,27.663476943969727,53.548118591308594,173.0624542236328
"(956, 338)",1244.5,0.5564824666843698,21.55925941467285,75.2501220703125,162.9224853515625
"(529, 303)",1234.5,0.790078764515937,30.400619506835938,52.30034255981445,38.769981384277344
"(648, 293)",811.5,0.7158379041877017,21.773866653442383,49.28879165649414,176.65821838378906
"(828, 296)",1332.0,0.7018930806731539,28.32086181640625,64.64214324951172,178.75607299804688
"(289, 239)",1127.5,0.64104025271297,23.795366287231445,62.473785400390625,174.6309356689453
"(256, 234)",1136.5,0.7002528351787045,25.14295768737793,59.22700500488281,162.5804901123047
"(59, 236)",1954.5,0.774098665715453,37.81223678588867,66.6275863647461,172.1885223388672
"(371, 216)",968.0,0.7857060682271362,25.774574279785156,49.55597686767578,178.78707885742188
"(792, 209)",1301.5,0.7980775118099626,30.33224105834961,56.15644073486328,173.920654296875
"(655, 204)",1308.5,0.7054749592318537,28.30004119873047,61.94711685180664,2.6033647060394287
"(121, 183)",805.0,0.6841526762337665,20.663532257080078,51.398048400878906,168.58322143554688
"(84, 184)",1590.5,0.7728781893999628,32.85307693481445,63.18382263183594,173.6089630126953
"(203, 180)",1669.0,0.6124492107404484,27.011337280273438,79.91630554199219,9.031177520751953
"(237, 84)",887.5,0.5857719905282982,19.58836555480957,58.88969421386719,164.4652099609375
"(653, 78)",2017.0,0.7833198676562767,38.068416595458984,68.54010009765625,175.90945434570312
"(819, 80)",2811.0,0.7971253532329411,45.535316467285156,79.54421997070312,177.46006774902344
"(291, 63)",1094.0,0.7408171550647618,26.31008529663086,53.8638801574707,162.69175720214844
"(320, 46)",589.5,0.5600230564448129,16.13395118713379,49.474761962890625,172.2478790283203
"(490, 67)",5161.5,0.8232301967928822,65.36729431152344,101.77923583984375,175.44166564941406
